saledate,saledate_y,ward,age,rmdl,ttl_bathrms,heat_d,ac,num_units,rooms,bedrms,stories,log_gba,extwall_d,roof_d,floor_d,kitchens,fireplaces,landarea,price,log_price
2019-10-07,2019,5,91 to 100,Yes,3.5,Forced Air,Yes,1,10 or More,4,2 or Fewer,7.203405521083095,Brick,Metal,Hard,2 or More,0,"1,000 to 1,999",780760.0,13.568023083260547
2019-10-07,2019,6,111 or More,Yes,3.5,Hot Water,Yes,2 or More,6,4,2 or Fewer,7.450079569807499,Brick,Flat,Hard,2 or More,0,"2,000 to 4,999",1485000.0,14.210925330218936
2019-10-08,2019,5,81 to 90,Yes,2,Forced Air,Yes,1,8,3,2 or Fewer,7.02108396428914,Brick,Flat,Hard,1,0,"1,000 to 1,999",610000.0,13.321214236149494
2019-10-08,2019,1,101 to 110,Yes,3.5,Hot Water,Yes,1,7,3,2 or Fewer,7.017506142941256,Brick,Metal,Hard,1,0,"1,000 to 1,999",720000.0,13.487006490992238
2019-10-08,2019,5,91 to 100,Yes,3.5,Forced Air,Yes,1,8,3,2 or Fewer,7.068172000388042,Brick,Flat,Hard,1,0,"2,000 to 4,999",795000.0,13.58609739363647
2019-10-08,2019,3,81 to 90,Yes,4 or More,Dual Climate,Yes,1,7,4,2.5 or More,7.627544390488503,Siding and Stucco,Tile,Hard,1,1,"5,000 or More",1867000.0,14.43984342252386
2019-10-08,2019,6,11 to 60,Yes,2,Forced Air,Yes,2 or More,7,3,2 or Fewer,7.179307969504034,Brick,Flat,Hard,2 or More,0,999 or Fewer,933003.0,13.746163695258394
2019-10-08,2019,6,91 to 100,No,1.5,Hot Water,No,1,6,3,2 or Fewer,7.086737934510577,Brick,Flat,Hard,1,1,"1,000 to 1,999",750000.0,13.527828485512494
2019-10-08,2019,5,91 to 100,Yes,3.5,Forced Air,Yes,1,6,3,2 or Fewer,6.954638864880987,Brick,Shingle,Hard,1,0,"2,000 to 4,999",675000.0,13.422467969854667
2019-10-08,2019,4,91 to 100,Yes,3.5,Forced Air,Yes,1,8,5 or More,2 or Fewer,7.486613313139955,Brick,Metal,Hard,1,0,"2,000 to 4,999",1130000.0,13.937728190688523
2019-10-08,2019,8,10 or Fewer,No,2.5,Other,Yes,1,7,4,2.5 or More,7.620705086838262,Siding and Stucco,Shingle,Hard,1,0,"2,000 to 4,999",350000.0,12.765688433465597
2019-10-08,2019,3,81 to 90,Yes,3,Forced Air,Yes,1,7,4,2.5 or More,7.682482446534506,Brick,Shingle,Hard,1,1,"5,000 or More",1150000.0,13.955272500339433
2019-10-08,2019,5,101 to 110,Yes,2.5,Forced Air,Yes,2 or More,6,3,2 or Fewer,7.1853870155804165,Brick,Flat,Hard,2 or More,0,"1,000 to 1,999",927000.0,13.739708844547993
2019-10-08,2019,2,111 or More,No,4 or More,Dual Climate,Yes,2 or More,9,3,2.5 or More,7.698936199813447,Brick,Metal,Hard,2 or More,1,"1,000 to 1,999",1680000.0,14.334304351379442
2019-10-09,2019,8,11 to 60,Yes,2.5,Dual Climate,Yes,1,8,4,2 or Fewer,7.218176838403408,Brick,Flat,Hard,1,0,"1,000 to 1,999",384900.0,12.860738839271837
2019-10-09,2019,5,71 to 80,Yes,3.5,Dual Climate,Yes,1,8,4,2 or Fewer,7.24422751560335,Brick,Shingle,Hard,1,1,"2,000 to 4,999",729900.0,13.500662817439723
2019-10-09,2019,7,91 to 100,No,1.5,Hot Water,No,1,7,3,2 or Fewer,7.080026499922591,Siding and Stucco,Shingle,Hard,1,0,"5,000 or More",325000.0,12.691580461311874
2019-10-09,2019,7,71 to 80,Yes,4 or More,Forced Air,Yes,2 or More,10 or More,5 or More,2 or Fewer,8.110727582974489,Brick,Flat,Hard,2 or More,0,"2,000 to 4,999",1368000.0,14.128860377164633
2019-10-09,2019,4,101 to 110,Yes,3.5,Forced Air,Yes,1,10 or More,4,2 or Fewer,7.374001859350161,Brick,Metal,Hard,1,0,"2,000 to 4,999",660000.0,13.399995114002609
2019-10-09,2019,7,10 or Fewer,No,3.5,Dual Climate,Yes,1,8,4,2.5 or More,7.419380582918692,Brick,Shingle,Hard,1,0,"5,000 or More",460000.0,13.038981768465277
2019-10-09,2019,8,10 or Fewer,No,3.5,Forced Air,Yes,1,9,4,2 or Fewer,7.400009517162692,Siding and Stucco,Shingle,Hard,1,0,"2,000 to 4,999",470000.0,13.060487973686241
2019-10-09,2019,4,61 to 70,Yes,2,Forced Air,Yes,1,5 or Fewer,2 or Fewer,2 or Fewer,6.761572768804055,Brick,Shingle,Hard,1,0,"2,000 to 4,999",515000.0,13.151922179645874
2019-10-09,2019,5,61 to 70,Yes,3.5,Forced Air,Yes,1,8,3,2 or Fewer,6.992096427415888,Brick,Flat,Hard,1,0,"2,000 to 4,999",584730.0,13.278905481210796
2019-10-09,2019,3,81 to 90,Yes,3,Forced Air,Yes,1,8,4,2 or Fewer,7.307872780763706,Brick,Flat,Hard,2 or More,0,"1,000 to 1,999",1025000.0,13.840203170554645
2019-10-10,2019,8,11 to 60,Yes,3.5,Forced Air,Yes,1,7,4,2 or Fewer,7.4133673356952405,Brick,Shingle,Hard,1,0,"2,000 to 4,999",499900.0,13.122163357401663
2019-10-10,2019,5,10 or Fewer,No,3.5,Forced Air,Yes,1,6,3,2.5 or More,7.242797922793756,Brick,Flat,Hard,1,0,999 or Fewer,775000.0,13.560618308335483
2019-10-10,2019,7,71 to 80,Yes,2,Dual Climate,Yes,1,5 or Fewer,3,2 or Fewer,6.956545443151569,Brick,Shingle,Hard,2 or More,0,"2,000 to 4,999",375000.0,12.834681304952548
2019-10-10,2019,1,101 to 110,Yes,4 or More,Forced Air,Yes,1,8,5 or More,2.5 or More,7.8636512654486515,Brick,Metal,Hard,1,2 or More,"2,000 to 4,999",1570000.0,14.266586177324491
2019-10-10,2019,5,71 to 80,Yes,4 or More,Forced Air,Yes,2 or More,10 or More,5 or More,2.5 or More,7.4821189235521155,Brick,Flat,Hard,2 or More,0,"1,000 to 1,999",1050000.0,13.864300722133706
2019-10-10,2019,7,10 or Fewer,No,2.5,Forced Air,Yes,1,7,3,2.5 or More,7.4999765409521215,Brick,Flat,Hard,1,0,999 or Fewer,514835.0,13.151601739961047
2019-10-10,2019,4,91 to 100,Yes,3.5,Forced Air,Yes,1,7,3,2 or Fewer,7.367708572374371,Brick,Metal,Hard,1,0,"1,000 to 1,999",821000.0,13.618278388434565
2019-10-10,2019,8,71 to 80,Yes,1,Hot Water,No,1,5 or Fewer,2 or Fewer,2 or Fewer,6.723832440821209,Brick,Flat,Hard,1,0,"1,000 to 1,999",280000.0,12.542544882151386
2019-10-11,2019,6,101 to 110,Yes,3,Dual Climate,Yes,1,5 or Fewer,3,2 or Fewer,7.326465613840322,Brick,Metal,Hard,1,1,"1,000 to 1,999",937969.0,13.751472178401718
2019-10-11,2019,4,81 to 90,No,1.5,Hot Water,No,1,9,4,2 or Fewer,7.313220387090301,Brick,Metal,Hard,1,0,"2,000 to 4,999",560000.0,13.235692062711331
2019-10-11,2019,1,81 to 90,Yes,2.5,Hot Water,Yes,2 or More,8,4,2 or Fewer,7.414572881350589,Brick,Metal,Hard,2 or More,1,"1,000 to 1,999",901000.0,13.711260536590475
2019-10-11,2019,8,11 to 60,Yes,3.5,Dual Climate,Yes,1,7,3,2.5 or More,7.560080465021827,Brick,Shingle,Hard,1,0,"2,000 to 4,999",362000.0,12.799399490807907
2019-10-11,2019,5,11 to 60,No,2.5,Forced Air,Yes,1,7,3,2 or Fewer,7.5480289699350145,Brick,Shingle,Soft,1,1,"5,000 or More",637000.0,13.3645249345543
2019-10-11,2019,7,61 to 70,Yes,2,Hot Water,Yes,1,6,2 or Fewer,2 or Fewer,6.784457062637643,Brick,Shingle,Hard,1,0,"2,000 to 4,999",310000.0,12.644327576461329
2019-10-11,2019,6,101 to 110,Yes,2,Hot Water,No,1,8,4,2 or Fewer,7.608374474380783,Brick,Metal,Hard,1,1,"1,000 to 1,999",1105000.0,13.91535589293399
2019-10-11,2019,4,61 to 70,Yes,3.5,Dual Climate,Yes,1,10 or More,5 or More,2 or Fewer,8.089175678837561,Brick,Shingle,Hard,1,2 or More,"5,000 or More",1450000.0,14.187074114396758
2019-10-15,2019,8,61 to 70,Yes,2,Forced Air,Yes,1,6,3,2 or Fewer,6.931471805599453,Brick,Flat,Hard,1,0,"2,000 to 4,999",320000.0,12.676076274775909
2019-10-15,2019,4,91 to 100,Yes,2.5,Forced Air,Yes,1,6,4,2 or Fewer,7.234177179749849,Brick,Metal,Hard,1,0,"1,000 to 1,999",628000.0,13.350295445450335
2019-10-15,2019,7,91 to 100,Yes,3,Forced Air,Yes,1,7,3,2 or Fewer,7.517520850603031,Brick,Metal,Hard,1,0,"2,000 to 4,999",1000000.0,13.815510557964274
2019-10-15,2019,3,91 to 100,Yes,4 or More,Hot Water,Yes,1,7,5 or More,2 or Fewer,7.876258882303226,Brick,Shingle,Hard,1,2 or More,"5,000 or More",1965000.0,14.491002803285499
2019-10-15,2019,5,81 to 90,Yes,3.5,Hot Water,Yes,1,8,5 or More,2 or Fewer,7.612336837167746,Brick,Tile,Hard,1,1,"2,000 to 4,999",995000.0,13.81049801614073
2019-10-15,2019,1,101 to 110,Yes,2,Forced Air,Yes,2 or More,6,3,2 or Fewer,7.004881989712859,Brick,Flat,Hard,2 or More,0,"1,000 to 1,999",705000.0,13.465953081794405
2019-10-15,2019,5,101 to 110,No,4 or More,Forced Air,Yes,2 or More,8,5 or More,2.5 or More,7.789454566086673,Brick,Flat,Hard,2 or More,0,"1,000 to 1,999",1010000.0,13.825460888817442
2019-10-15,2019,5,91 to 100,Yes,2,Forced Air,Yes,1,8,3,2 or Fewer,7.21081845347222,Stone,Metal,Hard,1,0,999 or Fewer,610000.0,13.321214236149494
2019-10-15,2019,5,91 to 100,Yes,2.5,Forced Air,Yes,1,6,2 or Fewer,2 or Fewer,6.822197390620491,Brick,Metal,Hard,1,0,999 or Fewer,589000.0,13.286181462633724
2019-10-15,2019,7,10 or Fewer,No,3.5,Forced Air,Yes,1,7,4,2 or Fewer,7.38770923908104,Brick,Shingle,Hard,1,0,"2,000 to 4,999",460000.0,13.038981768465277
2019-10-16,2019,4,91 to 100,Yes,2,Hot Water,Yes,1,7,3,2 or Fewer,7.3777589082278725,Siding and Stucco,Tile,Hard,1,1,"2,000 to 4,999",790000.0,13.579788224443204
2019-10-16,2019,7,71 to 80,Yes,3,Forced Air,Yes,1,6,4,2 or Fewer,6.833031732786201,Brick,Shingle,Hard,1,0,"2,000 to 4,999",379900.0,12.847663339175718
2019-10-16,2019,8,101 to 110,Yes,2,Hot Water,No,1,6,2 or Fewer,2 or Fewer,7.16703787691222,Brick,Flat,Hard,1,0,"2,000 to 4,999",352000.0,12.771386454580234
